food_category,plate_coverage_ratio,leftover_area_px,total_plate_area_px,color_variance,texture_score,brightness_mean,estimated_weight_grams,waste_percentage,waste_level
rice,0.5378,20318.26,48762.26,96.5979,118.211,128.99,905.25,36.46,medium
dessert,0.67467,16983.63,45264.12,154.7183,124.8421,112.12,995.31,38.17,medium
vegetables,0.48592,27372.05,49890.17,306.6897,306.4209,135.76,1019.18,50.64,high
salad,0.35096,25989.94,43374.34,355.7832,320.4152,131.27,905.23,62.34,high
vegetables,0.70744,13349.59,47172.62,389.2968,366.6047,138.92,495.51,25.93,medium
curry,1.0,54.11,46156.48,382.0082,320.5925,110.42,2.51,0.11,low
curry,0.71548,10661.47,38268.52,330.6808,281.6305,137.59,483.05,26.78,medium
rice,0.73257,8289.22,44234.78,87.9449,157.8516,127.48,385.09,20.36,medium
curry,0.42354,23606.42,43762.61,231.0453,195.5451,113.59,1171.32,59.93,high
dal,0.94717,3469.61,46922.99,98.8398,78.3642,119.86,161.94,7.52,low
mixed,0.81044,6251.28,46599.1,399.4043,320.4851,134.85,278.46,14.43,low
rice,1.0,574.69,43643.87,145.8606,184.7547,111.09,27.71,1.45,low
rice,0.55046,24953.03,45087.41,68.9541,129.6408,132.29,1121.54,52.96,high
dessert,0.91888,993.48,50853.21,189.6681,134.0921,100.97,55.64,2.17,low
vegetables,0.19722,38914.01,46254.06,295.9555,217.4528,121.21,1548.31,84.47,severe
rice,0.91966,1846.12,43338.57,154.4189,173.5001,119.23,83.97,4.97,low
vegetables,0.60403,24141.0,46122.75,377.8569,321.222,110.15,876.3,48.44,high
rice,0.79919,9569.91,41714.45,140.2168,163.6023,121.67,409.63,24.27,medium
mixed,0.92937,301.86,40097.58,439.6999,360.5415,119.63,13.63,0.67,low
mixed,0.93951,4409.92,43356.29,441.4574,363.5428,102.84,188.17,11.58,low
rice,0.62709,21564.1,43467.25,136.5724,117.3559,137.11,1061.96,44.6,high
rice,0.8844,7667.86,46350.3,140.6944,125.1245,121.58,358.46,18.6,medium
dessert,0.81306,5220.06,48663.61,184.855,124.7527,138.78,296.46,12.06,low
dal,0.20287,33728.59,42216.23,53.6155,20.4846,137.3,1592.78,78.59,severe
rice,0.54357,18241.66,43850.47,101.8116,149.3457,118.19,869.6,38.33,medium
mixed,0.89391,3121.9,40750.34,418.392,346.5929,95.76,139.19,7.96,low
dal,1.0,5096.11,52347.65,95.7938,96.8311,145.93,235.33,11.19,low
curry,0.84305,5785.83,46739.06,314.8197,290.7068,119.14,270.47,13.81,low
dessert,0.69741,14626.93,45621.72,179.6135,105.3098,130.8,753.24,32.02,medium
rice,0.98188,1659.33,51293.42,105.5593,201.649,124.3,81.01,3.74,low
salad,0.30563,29487.4,40558.28,323.5628,276.1263,132.34,1039.5,67.08,high
rice,0.62376,13186.52,34733.37,108.5387,127.4134,101.17,583.53,36.44,medium
dal,0.75534,11142.56,43685.9,79.5121,101.321,133.63,532.8,24.16,medium
curry,0.94163,4555.64,51975.74,367.4107,318.4905,110.71,238.48,8.03,low
rice,0.40035,26184.6,45281.59,126.5474,122.6571,108.41,1092.86,65.82,high
curry,0.09161,51044.91,51044.91,128.476,130.8102,119.92,2345.54,94.03,severe
dal,0.80069,4047.06,47435.05,92.8493,86.3194,148.23,198.13,8.47,low
dal,0.33788,29808.56,38673.62,79.816,38.8538,145.45,1383.2,73.59,severe
salad,0.51146,17937.23,41546.62,414.1701,374.0086,113.89,613.15,48.12,high
mixed,0.44422,23458.08,41711.0,264.6665,262.6336,143.97,1150.87,56.59,high
bread,0.48909,23083.79,36985.91,62.0424,115.2092,106.18,664.17,59.11,high
rice,0.76563,13212.48,46758.55,78.5876,105.6736,125.5,568.87,26.06,medium
dessert,0.85705,5567.06,42350.5,209.2872,146.3059,112.29,284.33,14.99,low
dessert,0.5666,17175.76,43425.04,157.051,123.2501,98.77,1001.63,45.95,high
mixed,0.56859,21657.74,47997.74,326.4346,293.7003,127.59,901.49,41.72,high
curry,0.62183,13679.14,45368.51,254.6632,229.0406,122.19,712.67,33.63,medium
dal,0.86011,7452.16,40837.82,49.435,100.1725,113.72,335.06,16.36,medium
mixed,0.15297,39974.05,46711.56,191.8795,189.6556,131.8,1826.9,83.76,severe
dal,0.60829,17406.34,46533.51,126.3559,108.0373,128.87,798.42,38.51,medium
salad,0.93452,2895.18,46332.28,552.9743,470.2911,90.21,97.62,6.42,low
mixed,0.68336,13533.85,49423.97,321.1645,290.1533,129.11,586.64,26.85,medium
rice,0.43557,21879.32,40432.25,89.7786,140.9331,132.66,1067.48,56.47,high
dessert,0.60746,16322.17,46721.21,181.4305,124.0573,144.13,817.92,35.0,medium
dal,0.99666,2353.2,43765.31,96.3759,49.9832,97.64,110.07,5.01,low
salad,0.79291,6849.14,33141.88,528.0349,441.326,131.12,249.57,17.99,medium
curry,0.72932,13957.42,44655.6,336.3309,256.6825,138.88,766.14,31.02,medium
mixed,0.37309,29842.02,44234.62,280.8426,220.9034,136.41,1334.65,69.71,high
dal,0.99548,1078.59,43205.74,120.6202,78.9532,137.31,51.7,2.71,low
rice,0.8645,6116.73,45990.66,118.8254,167.8078,107.58,277.43,12.65,low
rice,0.88815,6613.97,47226.13,122.7561,160.4362,110.93,318.48,12.67,low
bread,0.71361,13190.49,41444.81,74.0953,93.9145,139.23,371.31,28.29,medium
vegetables,0.87028,6759.51,47193.71,436.79,416.3246,109.1,277.61,13.91,low
salad,0.7488,12634.42,43989.93,470.6098,431.2031,108.94,408.08,26.94,medium
mixed,0.47975,25282.17,41650.15,243.7695,249.9172,157.72,1194.58,53.2,high
salad,0.96783,304.73,43305.57,593.1729,478.2407,128.37,11.29,0.61,low
vegetables,0.94374,3879.51,42453.54,473.1984,399.4093,129.2,143.05,8.33,low
mixed,0.30375,28789.2,41773.6,231.0917,188.6585,155.69,1388.31,63.21,high
salad,0.94636,3185.27,42521.34,568.254,533.4797,105.46,119.35,7.72,low
dal,0.49479,17009.7,37252.65,64.8874,37.4198,138.8,790.65,48.97,high
vegetables,0.36637,33229.72,53210.74,273.6879,272.2157,106.71,1300.58,64.22,high
bread,0.76122,8638.32,51671.55,83.6583,96.129,127.44,251.03,18.36,medium
mixed,0.56508,16381.67,44929.75,296.1817,232.1561,104.46,797.49,38.98,medium
vegetables,0.38708,24539.77,46089.48,304.7617,273.1119,168.0,993.66,57.72,high
dal,0.39611,35206.5,48267.1,49.6944,45.0583,124.89,1710.92,63.51,high
vegetables,0.59887,15481.66,46256.31,295.3454,313.1283,116.29,587.82,38.88,medium
rice,0.98738,2610.69,44195.58,108.0939,177.3466,135.99,122.14,6.83,low
bread,0.9402,2486.04,47589.94,60.535,129.3762,118.04,74.42,5.91,low
curry,0.88419,2617.84,43596.19,388.0891,258.9064,99.87,135.69,6.47,low
vegetables,0.80447,6001.81,40439.36,418.8858,402.3144,121.1,260.18,13.96,low
curry,0.89076,1411.47,48228.03,386.6407,329.7213,106.88,75.51,2.82,low
bread,0.39568,30507.8,47065.19,54.027,74.6258,116.86,934.17,58.57,high
rice,0.23429,36401.23,41316.6,77.1498,113.1081,144.84,1578.31,80.85,severe
dessert,0.92022,2515.28,45334.48,255.0782,176.6018,141.98,149.13,5.2,low
rice,0.76382,7499.19,45811.19,115.2534,125.6053,123.96,304.84,18.15,medium
dal,0.82048,8449.36,45995.15,65.3731,76.2079,112.4,413.24,18.17,medium
mixed,0.89432,3876.22,37853.17,416.8909,369.0974,122.7,178.29,9.95,low
curry,0.73559,17259.77,50149.32,290.1492,265.4485,128.55,778.84,31.94,medium
dal,0.41253,26696.25,42984.17,53.8271,59.6337,135.85,1399.71,55.61,high
vegetables,0.81305,5908.11,46272.76,373.6294,394.4968,124.2,237.13,12.88,low
curry,0.45873,25429.01,46583.74,239.7749,195.863,117.41,1169.7,61.93,high
rice,0.59484,22822.25,52620.24,96.2028,134.0016,133.59,1049.34,40.69,high
curry,0.72962,12210.97,48875.99,342.4171,271.1389,129.59,565.5,25.23,medium
vegetables,0.44906,21042.77,47666.29,302.2375,286.3963,120.62,791.56,50.18,high
curry,0.91937,2884.61,42660.5,343.8386,326.7468,122.56,144.1,7.83,low
mixed,0.95438,2208.98,44586.32,430.919,341.3741,103.33,90.89,4.42,low
rice,0.82925,2181.38,43274.64,98.8061,148.3548,117.29,93.32,4.57,low
bread,0.44868,22979.59,41550.73,66.6628,87.4319,128.81,648.96,57.53,high
curry,0.19995,30171.74,44098.27,155.0815,138.9544,141.96,1493.46,73.62,severe
curry,0.37107,30748.15,50745.21,179.4583,185.2773,119.57,1656.71,65.54,high
curry,0.43622,29489.1,52528.7,237.6093,207.4817,131.37,1607.82,55.53,high
rice,0.19338,32848.03,47358.19,85.9118,100.5254,139.31,1425.4,74.91,severe
bread,0.71596,11136.47,46157.44,0.0,117.0943,70.95,332.01,26.63,medium
dessert,0.26611,36810.95,42151.59,170.9896,76.5727,140.8,1907.97,80.24,severe
curry,0.16682,42531.44,44561.09,166.9781,131.8571,150.53,1968.79,83.14,severe
bread,0.70178,12582.4,47467.26,99.7239,99.9137,104.71,375.42,24.82,medium
curry,0.23397,40690.08,45917.93,206.6305,133.3869,140.29,2136.07,80.28,severe
vegetables,0.75896,14659.46,48482.22,435.7389,375.4948,130.11,612.15,31.5,medium
